,LEFTSHIFT,ORIGINAL,DOMINO
0,6.925833344459534,6.698192119598389,6.742136240005493
1,6.908970832824707,6.695058584213257,6.781139492988586
2,6.813609600067139,6.6975380182266235,6.745575785636902
3,7.128206849098206,6.697291374206543,6.935708045959473
4,7.097488760948181,6.699742436408997,6.876671314239502
5,6.893316388130188,6.697204828262329,6.794585704803467
6,6.974205851554871,6.695898532867432,6.795963168144226
7,7.037288665771484,6.694080233573914,6.978648066520691
8,7.199325680732727,6.695780038833618,6.909289717674255
9,6.966220498085022,6.696055293083191,6.782210826873779
10,7.209583282470703,6.700180768966675,6.928721308708191
11,7.323239684104919,6.696363806724548,6.959077596664429
