,HLA-ABC,CD57,CD31,CD14,C-PEPTIDE,NESTIN,GLUCAGON,pan-Keratin,CD116,CD44,PDX-1,CD45,CD56,B-ACTIN,FOXP3,CD4,NKX6.1,CD68,SOMATOSTATIN,CD20,CD8,CD99,CA2,NF-KB,Granzyme B,Ki67,Collagen type I,CD3,pS6,CD45RO,HLA-DR,PANCREATIC POLYPEPTIDE,GHRELIN,DNA1,DNA2
HLA-ABC,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD57,,0,,0,,,,,0,0,,0,0,,0,0,,0,,0,0,,,,0,,,0,,0,,,,,
CD31,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD14,,0,,0,,,,,0,0,,0,0,,0,0,,0,,0,0,,,,0,,,0,,0,,,,,
C-PEPTIDE,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NESTIN,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLUCAGON,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pan-Keratin,,,,,,,,0,,0,0,,,,,,0,,,,,,0,0,,,,,,,,,,,
CD116,,0,,0,,,,,0,0,,0,0,,0,0,,0,,0,0,,,,0,,,0,,0,,,,,
CD44,,0,,0,,,,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,,,0,,0,,,,,
PDX-1,,,,,,,,0,,0,0,,,,,,0,,,,,,0,0,,,,,,,,,,0,0
CD45,,0,,0,,,,,0,0,,0,0,,0,0,,0,,0,0,,,,0,,,0,,0,,,,,
CD56,,0,,0,,,,,0,0,,0,0,,0,0,,0,,0,0,,,,0,,,0,,0,,,,,
B-ACTIN,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
FOXP3,,0,,0,,,,,0,0,,0,0,,0,0,,0,,0,0,,,,0,,,0,,0,,,,0,0
CD4,,0,,0,,,,,0,0,,0,0,,0,0,,0,,0,0,,,,0,,,0,,0,,,,,
NKX6.1,,,,,,,,0,,0,0,,,,,,0,,,,,,0,0,,,,,,,,,,0,0
CD68,,0,,0,,,,,0,0,,0,0,,0,0,,0,,0,0,,,,0,,,0,,0,,,,,
SOMATOSTATIN,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
CD20,,0,,0,,,,,0,0,,0,0,,0,0,,0,,0,0,,,,0,,,0,,0,,,,,
CD8,,0,,0,,,,,0,0,,0,0,,0,0,,0,,0,0,,,,0,,,0,,0,,,,,
CD99,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
CA2,,,,,,,,0,,0,0,,,,,,0,,,,,,0,0,,,,,,,,,,,
NF-KB,,,,,,,,0,,0,0,,,,,,0,,,,,,0,0,,,,,,,,,,0,0
Granzyme B,,0,,0,,,,,0,0,,0,0,,0,0,,0,,0,0,,,,0,,,0,,0,,,,,
Ki67,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,0
Collagen type I,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
CD3,,0,,0,,,,,0,0,,0,0,,0,0,,0,,0,0,,,,0,,,0,,0,,,,,
pS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
CD45RO,,0,,0,,,,,0,0,,0,0,,0,0,,0,,0,0,,,,0,,,0,,0,,,,,
HLA-DR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
PANCREATIC POLYPEPTIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
GHRELIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
DNA1,,,,,,,,,,,0,,,,0,,0,,,,,,,0,,0,,,,,,,,0,0
DNA2,,,,,,,,,,,0,,,,0,,0,,,,,,,0,,0,,,,,,,,0,0
